Fecha (America/Mexico_City);Tempin (°C);Temp (°C);Chill (°C);Dewin (°C);Dew (°C);Heatin (°C);Heat (°C);Humin (%);Hum (%);Wspdhi (km/h);Wspdavg (km/h);Wdiravg (°);Bar (mmHg);Rain (mm);Rainrate (mm/h);
2019-08-01 00:00:00;26,4;16,9;17,2;;10,6;;16,7;42;67;13;6,5;148;767,3;0;0;
2019-08-01 00:10:00;26,4;16,9;16,7;;10,6;;16,7;42;67;14,4;6,5;146;767,2;0;0;
2019-08-01 00:20:00;26,3;16,8;16,7;;10,6;;16,7;42;67;17,6;6,5;147;767,2;0;0;
2019-08-01 00:30:00;26,3;16,7;15;;10,6;;16,1;42;67;19,4;7,9;139;767,2;0;0;
2019-08-01 00:40:00;26,2;16,7;15,6;;10,6;;16,1;42;67;22,7;13;156;767,2;0;0;
2019-08-01 00:50:00;26,1;16,6;16,1;;10,6;;16,1;42;67;20,9;13;147;767,2;0;0;
2019-08-01 01:00:00;25,9;16,6;15,6;;10;;16,1;42;66;20,9;11,2;146;767,1;0;0;
2019-08-01 01:10:00;25,9;16,5;16,1;;10,6;;16,1;42;67;20,9;11,2;147;767;0;0;
2019-08-01 01:20:00;25,8;16,4;16,1;;10;;16,1;42;66;16,2;9,7;148;767;0;0;
2019-08-01 01:30:00;25,8;16,4;15,6;;10;;16,1;42;66;20,9;11,2;162;766,9;0;0;
2019-08-01 01:40:00;25,7;16,3;16,1;;10;;16,1;41;66;16,2;11,2;163;766,9;0;0;
2019-08-01 01:50:00;25,6;16,2;16,1;;10;;16,1;41;66;19,4;9,7;164;766,8;0;0;
2019-08-01 02:00:00;25,4;16,2;16,1;;9,4;;15,6;42;65;13;6,5;148;766,7;0;0;
2019-08-01 02:10:00;25,4;16,1;15,6;;9,4;;15,6;42;65;14,4;6,5;143;766,6;0;0;
2019-08-01 02:20:00;25,3;15,9;16,1;;9,4;;15,6;41;66;16,2;9,7;148;766,5;0;0;
2019-08-01 02:30:00;25,2;15,9;16,1;;9,4;;15,6;41;65;14,4;7,9;187;766,5;0;0;
2019-08-01 02:40:00;25,1;15,7;14,4;;8,9;;15,6;40;65;20,9;7,9;206;766,4;0;0;
2019-08-01 02:50:00;24,5;15,7;13,9;;9,4;;15,6;41;66;17,6;7,9;164;766,6;0;0;
2019-08-01 03:00:00;24,1;15,6;14,4;;9,4;;15;41;66;17,6;9,7;164;766,6;0;0;
2019-08-01 03:10:00;23,7;15,4;15;;8,9;;15;41;65;19,4;11,2;194;766,4;0;0;
2019-08-01 03:20:00;23,4;15,2;15;;8,3;;15;41;65;14,4;7,9;214;766,4;0;0;
2019-08-01 03:30:00;23,2;14,9;15;;8,3;;14,4;42;66;14,4;7,9;184;766,3;0;0;
2019-08-01 03:40:00;23,3;14,6;14,4;;8,3;;14,4;42;67;11,2;6,5;171;766,2;0;0;
2019-08-01 03:50:00;23,6;14,3;14,4;;8,9;;13,9;42;69;9,7;4,7;176;766,3;0;0;
2019-08-01 04:00:00;23,8;14,1;13,9;;8,3;;13,9;42;69;7,9;1,4;158;766,2;0;0;
2019-08-01 04:10:00;23,9;13,8;13,9;;8,3;;13,3;42;71;4,7;3,2;151;766,3;0;0;
2019-08-01 04:20:00;24;13,4;13,3;;8,3;;13,3;42;72;3,2;1,4;184;766,2;0;0;
2019-08-01 04:30:00;24;13,3;11,7;;8,3;;13,3;42;72;14,4;4,7;172;766,1;0;0;
2019-08-01 04:40:00;23,8;13,2;13,3;;8,3;;12,8;42;72;11,2;6,5;253;766,2;0;0;
2019-08-01 04:50:00;23,9;12,9;12,8;;8,3;;12,8;42;73;4,7;1,4;330;766,3;0;0;
2019-08-01 05:00:00;24;12,7;12,8;;8,3;;12,8;42;74;1,4;0;326;766,3;0;0;
