Fecha (America/Mexico_City);Tempin (°C);Temp (°C);Chill (°C);Dewin (°C);Dew (°C);Heatin (°C);Heat (°C);Humin (%);Hum (%);Wspdhi (km/h);Wspdavg (km/h);Wdiravg (°);Bar (mmHg);Rain (mm);Rainrate (mm/h);
2019-09-01 00:00:00;22,8;15,2;15;;6,7;;14,4;39;57;14,4;6,5;145;767,5;0;0;
2019-09-01 00:10:00;22,3;15,1;15;;6,1;;14,4;39;56;14,4;7,9;178;767,5;0;0;
2019-09-01 00:20:00;21,8;15;15;;5,6;;13,9;38;54;14,4;7,9;174;767,6;0;0;
2019-09-01 00:30:00;21,4;15;15;;5,6;;13,9;39;54;13;7,9;164;767,6;0;0;
2019-09-01 00:40:00;21,3;15;14,4;;6,7;;14,4;40;57;14,4;6,5;156;767,5;0;0;
2019-09-01 00:50:00;21,3;14,8;14,4;;7,2;;14,4;42;60;13;6,5;169;767,5;0;0;
2019-09-01 01:00:00;21,2;14,9;15;;7,2;;14,4;43;60;16,2;7,9;227;767,6;0;0;
2019-09-01 01:10:00;20,9;14,8;15;;6,7;;14,4;42;58;16,2;7,9;163;767,6;0;0;
2019-09-01 01:20:00;20,7;14,7;13,9;;6,7;;14,4;42;60;16,2;7,9;172;767,6;0;0;
2019-09-01 01:30:00;20,4;14,6;12,8;;6,7;;13,9;43;59;17,6;7,9;191;767,6;0;0;
2019-09-01 01:40:00;20,1;14,4;13,9;;6,7;;13,9;43;60;17,6;11,2;212;767,5;0;0;
2019-09-01 01:50:00;19,8;14,3;13,9;;7,2;;13,9;45;63;16,2;9,7;245;767,5;0;0;
2019-09-01 02:00:00;20,4;14;13,9;;7,2;;13,3;44;63;7,9;3,2;267;767,4;0;0;
2019-09-01 02:10:00;20,7;13,8;13,9;;6,7;;13,3;44;63;9,7;3,2;264;767,5;0;0;
2019-09-01 02:20:00;21,3;13,5;13,3;;6,1;;12,8;44;62;6,5;3,2;274;767,5;0;0;
2019-09-01 02:30:00;21,9;13,3;13,3;;6,1;;12,8;43;62;7,9;4,7;280;767,5;0;0;
2019-09-01 02:40:00;21,5;13,1;13,3;;6,1;;12,8;42;62;7,9;4,7;229;767,7;0;0;
2019-09-01 02:50:00;20,9;13,1;13,3;;5,6;;12,8;42;61;7,9;4,7;195;767,6;0;0;
2019-09-01 03:00:00;21,3;12,9;12,8;;5;;12,2;42;60;1,4;0;246;767,7;0;0;
2019-09-01 03:10:00;21,4;12,7;12,8;;5,6;;12,2;43;63;3,2;1,4;142;767,6;0;0;
2019-09-01 03:20:00;21,1;12,3;12,2;;6,1;;11,7;43;67;6,5;1,4;214;;;;
2019-09-01 03:30:00;20,3;12,1;12,2;;6,1;;11,7;44;68;9,7;4,7;176;767,2;0;0;
2019-09-01 03:40:00;19,9;12,1;12,2;;6,1;;11,7;44;68;11,2;6,5;199;767,1;0;0;
2019-09-01 03:50:00;19,4;12,2;11,1;;6,1;;11,7;45;68;16,2;7,9;163;767;0;0;
2019-09-01 04:00:00;18,9;12,1;12,2;;6,1;;11,7;45;68;16,2;9,7;180;767,1;0;0;
2019-09-01 04:10:00;18,7;11,8;10,6;;6,1;;11,7;46;69;14,4;7,9;167;767;0;0;
2019-09-01 04:20:00;18,4;11,7;11,1;;6,1;;11,1;47;69;13;6,5;174;767,1;0;0;
2019-09-01 04:30:00;18,5;11,4;11,1;;6,1;;11,1;47;70;11,2;6,5;166;767;0;0;
2019-09-01 04:40:00;18,4;11,4;11,1;;6,1;;11,1;47;70;16,2;7,9;166;766,9;0;0;
2019-09-01 04:50:00;18,8;11,1;10;;6,1;;11,1;46;71;11,2;6,5;158;766,9;0;0;
2019-09-01 05:00:00;18,9;10,9;11,1;;6,1;;10,6;46;73;11,2;6,5;172;766,9;0;0;
2019-09-01 05:10:00;18,6;10,8;9,4;;6,1;;10,6;47;74;14,4;7,9;209;766,9;0;0;
2019-09-01 05:20:00;17,9;10,7;10,6;;6,1;;10,6;48;74;13;7,9;162;766,9;0;0;
2019-09-01 05:30:00;18,6;10,3;9,4;;6,1;;10;48;75;9,7;6,5;151;767;0;0;
2019-09-01 05:40:00;19,3;9,9;8,3;;6,1;;10;46;76;11,2;6,5;189;767;0;0;
2019-09-01 05:50:00;18,7;10;8,3;;5,6;;10;46;75;14,4;9,7;166;766,9;0;0;
2019-09-01 06:00:00;18,3;9,9;8,9;;5,6;;10;47;75;9,7;6,5;165;766,9;0;0;
2019-09-01 06:10:00;17,7;10,1;10;;5,6;;10;48;74;11,2;7,9;160;767,1;0;0;
2019-09-01 06:20:00;17,7;9,9;10;;5,6;;10;48;74;9,7;3,2;181;767,2;0;0;
2019-09-01 06:30:00;18,2;9,7;9,4;;5,6;;9,4;48;75;9,7;3,2;181;767,2;0;0;
2019-09-01 06:40:00;18;9,7;8,9;;5,6;;9,4;47;75;9,7;4,7;171;767,2;0;0;
2019-09-01 06:50:00;17,4;9,7;8,9;;5,6;;9,4;48;75;14,4;6,5;171;767,2;0;0;
2019-09-01 07:00:00;17,6;9,4;8,9;;5,6;;9,4;48;76;13;6,5;162;767,3;0;0;
2019-09-01 07:10:00;17,8;9,1;8,3;;5,6;;8,9;48;78;11,2;6,5;151;767,3;0;0;
2019-09-01 07:30:00;18,8;8,7;8,3;;5,6;;8,9;46;79;7,9;4,7;153;767,4;0;0;
2019-09-01 07:40:00;18,9;9;7,8;;5,6;;8,9;46;78;9,7;4,7;141;767,5;0;0;
2019-09-01 07:50:00;19,4;9,3;8,9;;5,6;;9,4;45;78;9,7;6,5;167;767,5;0;0;
2019-09-01 08:00:00;18,9;9,7;8,3;;5,6;;9,4;45;76;14,4;6,5;158;767,7;0;0;
2019-09-01 08:10:00;18,8;10,6;8,3;;6,1;;10,6;45;73;19,4;11,2;168;767,8;0;0;
2019-09-01 08:20:00;;;;;;;11,1;46;71;17,6;11,2;163;768;0;0;
2019-09-01 08:30:00;18,3;11,6;10;;6,7;;11,1;47;71;16,2;9,7;153;768;0;0;
2019-09-01 08:40:00;18,6;11,8;11,7;;6,7;;11,7;47;70;17,6;11,2;157;768;0;0;
2019-09-01 08:50:00;18,2;12,2;10;;6,7;;11,7;48;69;20,9;11,2;169;767,9;0;0;
2019-09-01 09:00:00;18,4;;;;;;;;;;;;;;;
2019-09-01 09:10:00;18,4;13,1;12,8;;6,7;;12,8;48;66;16,2;11,2;160;768;0;0;
2019-09-01 09:20:00;18,5;13,6;12,8;;6,7;;13,3;48;63;16,2;9,7;165;767,9;0;0;
2019-09-01 09:30:00;;;;;;;;;;;;;;;0;
2019-09-01 09:40:00;18,7;14,7;14,4;;7,2;;13,9;49;61;14,4;9,7;183;768;0;0;
2019-09-01 09:50:00;18,9;15,1;15;;6,7;;14,4;48;57;14,4;9,7;170;767,9;0;0;
2019-09-01 10:00:00;19,2;15,7;15;;6,1;;15;45;53;16,2;9,7;186;768;0;0;
2019-09-01 10:20:00;20,1;16,3;16,1;;5,6;;15;42;50;16,2;9,7;158;768,1;0;0;
2019-09-01 10:30:00;20,3;16,9;17,2;;6,1;;15,6;44;49;16,2;7,9;162;768,1;0;0;
2019-09-01 10:40:00;20,7;17,5;17,2;;6,7;;16,1;40;49;17,6;11,2;160;768,1;0;0;
2019-09-01 10:50:00;21,1;18,2;18,3;;5;;16,7;41;42;17,6;9,7;181;767,9;0;0;
